AUS;LP_NR;SEITE;TITEL_NR;ART;LPTITEL;TITEL;BAND;DIRIGENT;KOMPONIST;INTERPR1;INTERPR2;INTERPR3;INTERPR4;INTERPR5;INTERPR6;INTERPR7;INTERPR8;INTERPR9;INTERPR10;ANMERKUNG;MUSIKART;JAHR;MIN;NOTE;SEK;WAHL
;   2; 1; 4;CD;THE SINGLES (CARPENTERS);SUPERSTAR;CARPENTERS;;;CARPENTERS;;;;;;;;;;;FOLK;1970;3;;49;0
;   2; 1; 5;CD;THE SINGLES (CARPENTERS);RAINY DAYS AND MONDAYS;CARPENTERS;;;CARPENTERS;;;;;;;;;;;FOLK;1970;3;;40;0
;   2; 1; 6;CD;THE SINGLES (CARPENTERS);GOODBYE TO LOVE;CARPENTERS;;;CARPENTERS;;;;;;;;;;;FOLK;1972;3;;50;0
;   2; 1; 7;CD;THE SINGLES (CARPENTERS);YESTERDAY ONCE MORE;CARPENTERS;;;CARPENTERS;;;;;;;;;;;FOLK;1973;3;;50;0
;   2; 1; 8;CD;THE SINGLES (CARPENTERS);IT'S GOING TO TAKE SOME TIME;CARPENTERS;;;CARPENTERS;;;;;;;;;;;FOLK;1971;2;;55;0
;   2; 1; 9;CD;THE SINGLES (CARPENTERS);SING;CARPENTERS;;;CARPENTERS;;;;;;;;;;;FOLK;1971;3;;20;0
;   2; 1;10;CD;THE SINGLES (CARPENTERS);FOR ALL WE KNOW;CARPENTERS;;;CARPENTERS;;;;;;;;;;;FOLK;1970;2;;34;0
;   2; 1;11;CD;THE SINGLES (CARPENTERS);HURTING EACH OTHER;CARPENTERS;;;CARPENTERS;;;;;;;;;;;FOLK;1965;2;;46;0
;   2; 1;12;CD;THE SINGLES (CARPENTERS);(THEY LONG TO BE)CLOSE TO YOU;CARPENTERS;;;CARPENTERS;;;;;;;;;;;FOLK;1963;4;;34;0
;   3; 1; 1;CD;EIS AM STIEL;LOLLIPOP;CHORDETTES , THE;;;CHORDETTES , THE;;;;;;;;;;;OLDIE/SOUND.;1958;2;;7;0
;   3; 1; 2;CD;EIS AM STIEL;PRETTY LITTLE ANGEL EYES;LEE , CURTIS;;;LEE , CURTIS;;;;;;;;;;;OLDIE/SOUND.;1961;2;;42;0
;   3; 1; 3;CD;EIS AM STIEL;OOBY DOBY;ORBISON , ROY;;;ORBISON , ROY;;;;;;;;;;;OLDIE/SOUND.;1956;2;;8;0
;   3; 1; 4;CD;EIS AM STIEL;CRAZY MAN CRAZY;HALEY , BILL;;;HALEY , BILL;;;;;;;;;;;OLDIE/SOUND.;1953;2;;38;0
;   3; 1; 5;CD;EIS AM STIEL;ROLL OVER BEETHOVEN;LEE LEWIS , JERRY;;;LEE LEWIS , JERRY;;;;;;;;;;;OLDIE/SOUND.;1960;2;;10;0
;   3; 1; 6;CD;EIS AM STIEL;SCHOOL DAYS;LEE LEWIS , JERRY;;;LEE LEWIS , JERRY;;;;;;;;;;;OLDIE/SOUND.;1960;2;;10;0
;   3; 1; 7;CD;EIS AM STIEL;SWEET LITTLE SIXTEEN;LEE LEWIS , JERRY;;;LEE LEWIS , JERRY;;;;;;;;;;;OLDIE/SOUND.;1960;2;;20;0
;   3; 1; 8;CD;EIS AM STIEL;SIXTEEN CANDLES;CRESTS , THE;;;CRESTS , THE;;;;;;;;;;;OLDIE/SOUND.;1958;2;;49;0
;   3; 1; 9;CD;EIS AM STIEL;THE WANDERER;DION;;;DION;;;;;;;;;;;OLDIE/SOUND.;1961;2;;40;0
;   3; 1;10;CD;EIS AM STIEL;LET'S DANCE;MONTEZ , CHRIS;;;MONTEZ , CHRIS;;;;;;;;;;;OLDIE/SOUND.;1962;2;;18;0
;   3; 1;11;CD;EIS AM STIEL;TIGER;FABIAN;;;FABIAN;;;;;;;;;;;OLDIE/SOUND.;1959;2;;30;0
;   3; 1;12;CD;EIS AM STIEL;A WHOLE LOTTA SHAKIN' GOIN' ON;RICHARD , LITTLE;;;RICHARD , LITTLE;;;;;;;;;;;OLDIE/SOUND.;1965;2;;28;0
;   3; 1;13;CD;EIS AM STIEL;TEEN BEAT;NELSON , SANDY;;;NELSON , SANDY;;;;;;;;;;;OLDIE/SOUND.;1959;2;;23;0
;   3; 1;14;CD;EIS AM STIEL;HE'S SO FINE;CHIFFONS , THE;;;CHIFFONS , THE;;;;;;;;;;;OLDIE/SOUND.;1963;1;;53;0
;   3; 1;15;CD;EIS AM STIEL;POETRY IN MOTION;TILLOTSON , JOHNNY;;;TILLOTSON , JOHNNY;;;;;;;;;;;OLDIE/SOUND.;1960;2;;26;0
;   3; 1;16;CD;EIS AM STIEL;WILL YOU LOVE ME TOMORROW;SHIRELLES , THE;;;SHIRELLES , THE;;;;;;;;;;;OLDIE/SOUND.;1961;2;;34;0
;   3; 1;17;CD;EIS AM STIEL;VENUS;AVALON , FRANKIE;;;AVALON , FRANKIE;;;;;;;;;;;OLDIE/SOUND.;1959;2;;21;0
;   3; 1;18;CD;EIS AM STIEL;THESE BOOTS ARE MADE FOR WALKING;HAZLEWOOD , LEE;;;HAZLEWOOD , LEE;;;;;;;;;;;OLDIE/SOUND.;1980;3;;12;0
;   4; 1; 1;CD;U.K. POP HITS OF THE 60'S;DO YOU WANT TO NOW A SECRET?;KRAMER , BILLY J. &THE DAKOTAS;;;KRAMER , B.J.;;;;;;;;;;;OLDIE;0;2;;6;0
;   4; 1; 2;CD;U.K. POP HITS OF THE 60'S;LOVE GROWS(WHERE MY ROSEMARY GOES;LIGHTHOUSE , EDISON;;;LIGHTHOUSE , EDISON;;;;;;;;;;;OLDIE;0;2;;31;0
;   4; 1; 3;CD;U.K. POP HITS OF THE 60'S;WINCHESTER CATHEDRAL;NEW VAUDEVILLE BAND;;;NEW VAUDEVILLE BAND;;;;;;;;;;;OLDIE;0;2;;24;0
;   4; 1; 4;CD;U.K. POP HITS OF THE 60'S;JESAMINE;CASUALS , THE;;;CASUALS , THE;;;;;;;;;;;OLDIE;0;3;;7;0
;   4; 1; 5;CD;U.K. POP HITS OF THE 60'S;DOWNTOWN;CLARK , PETULA;;;CLARK , PETULA;;;;;;;;;;;OLDIE;0;3;;5;0
;   4; 1; 6;CD;U.K. POP HITS OF THE 60'S;YOU'LL NEVER WALK ALONE;GERRY & THE PEACEMAKERS;;;GERRY & THE PEACE.;;;;;;;;;;;OLDIE;0;2;;25;0
;   4; 1; 7;CD;U.K. POP HITS OF THE 60'S;SILENCE IS GOLDEN;TREMELOES , THE;;;TREMELOES , THE;;;;;;;;;;;OLDIE;0;3;;8;0
;   4; 1; 8;CD;U.K. POP HITS OF THE 60'S;WILD THING;TROGGS , THE;;;TROGGS , THE;;;;;;;;;;;OLDIE;0;2;;36;0
;   4; 1; 9;CD;U.K. POP HITS OF THE 60'S;HELLO LITTLE GIRL;FOURMOST ,THE;;;FOURMOST , THE;;;;;;;;;;;OLDIE;0;1;;56;0
;   4; 1;10;CD;U.K. POP HITS OF THE 60'S;WISHIN' AND HOPIN';MERSEYBEATS , THE;;;MERSEYBEATS , THE;;;;;;;;;;;OLDIE;0;2;;36;0
;   4; 1;11;CD;U.K. POP HITS OF THE 60'S;FOR YOUR LOVE;CLAPTON , ERIC &THE YARDBIRDS;;;CLAPTON , ERIC;;;;;;;;;;;OLDIE;0;2;;30;0
;   4; 1;12;CD;U.K. POP HITS OF THE 60'S;IN THE BAD BAD OLD DAYS;FOUNDATIONS , THE;;;FOUNDATIONS , THE;;;;;;;;;;;OLDIE;0;3;;33;0
;   4; 1;13;CD;U.K. POP HITS OF THE 60'S;DEAR ONE;FINNEGAN , LARRY;;;FINNEGAN , LARRY;;;;;;;;;;;OLDIE;0;2;;57;0
;   4; 1;14;CD;U.K. POP HITS OF THE 60'S;PEPPERMINT TWIST;DEE , JOE & THE STARLIGHTERS;;;DEE , JOE;;;;;;;;;;;OLDIE;0;2;;5;0
;   4; 1;15;CD;U.K. POP HITS OF THE 60'S;REFLECTIONS OF MY LIFE;MARMALADE , THE;;;MARMALADE , THE;;;;;;;;;;;OLDIE;0;3;;57;0
;   4; 1;16;CD;U.K. POP HITS OF THE 60'S;UNDERSTAND;FREDDIE & THE DREAMERS;;;FREDDIE & THE DREAM.;;;;;;;;;;;OLDIE;0;2;;38;0
;   5; 1; 1;CD;LED ZEPPELIN;BLACK DOG;ZEPPELIN , LED;;;ZEPPELIN , LED;;;;;;;;;;;ROCK;0;4;;55;0
;   5; 1; 2;CD;LED ZEPPELIN;ROCK AND ROLL;ZEPPELIN , LED;;;ZEPPELIN , LED;;;;;;;;;;;ROCK;0;3;;40;0
;   5; 1; 3;CD;LED ZEPPELIN;THE BATTLE OF EVERMORE;ZEPPELIN , LED;;;ZEPPELIN , LED;;;;;;;;;;;ROCK;0;5;;38;0
;   5; 1; 4;CD;LED ZEPPELIN;STAIRWAY TO HEAVEN;ZEPPELIN , LED;;;ZEPPELIN , LED;;;;;;;;;;;ROCK;0;7;;55;0
;   5; 1; 5;CD;LED ZEPPELIN;MISTY MOUNTAIN HOP;ZEPPELIN , LED;;;ZEPPELIN , LED;;;;;;;;;;;ROCK;0;4;;39;0
;   5; 1; 6;CD;LED ZEPPELIN;FOUR STICKS;ZEPPELIN , LED;;;ZEPPELIN , LED;;;;;;;;;;;ROCK;0;4;;49;0
;   5; 1; 7;CD;LED ZEPPELIN;GOING TO CALIFORNIA;ZEPPELIN , LED;;;ZEPPELIN , LED;;;;;;;;;;;ROCK;0;3;;36;0
;   5; 1; 8;CD;LED ZEPPELIN;WHEN THE LEVEE BREAKS;ZEPPELIN , LED;;;ZEPPELIN , LED;;;;;;;;;;;ROCK;0;7;;8;0
;   6; 1; 1;CD;SOUL VOL. 1;SOUL MAN;SAM & DAVE;;;SAM & DAVE;;;;;;;;;;;SOUL;0;2;;34;0
;   6; 1; 2;CD;SOUL VOL. 1;THERE GOES MY BABY;DRIFTERS;;;DRIFTERS;;;;;;;;;;;SOUL;0;2;;17;0
;   6; 1; 3;CD;SOUL VOL. 1;PAPA'S GOT A BRAND NEW BAG;BROWN , JAMES;;;BROWN , JAMES;;;;;;;;;;;SOUL;0;2;;25;0
;   6; 1; 4;CD;SOUL VOL. 1;OPERATOR;KNIGHT , GLADYS;;;KNIGHT, GLADYS;;;;;;;;;;;SOUL;0;2;;15;0
;   6; 1; 5;CD;SOUL VOL. 1;WARM & TENDER LOVE;SLEDGE , PERCY;;;SLEDGE , PERCY;;;;;;;;;;;SOUL;0;3;;16;0
;   6; 1; 6;CD;SOUL VOL. 1;HEY GIRL DON'T BOTHER ME;TAMS;;;TAMS;;;;;;;;;;;SOUL;0;2;;37;0
;   6; 1; 7;CD;SOUL VOL. 1;HOLD ON I'M COMIN;SAM & DAVE;;;SAM & DAVE;;;;;;;;;;;SOUL;0;2;;40;0
;   6; 1; 8;CD;SOUL VOL. 1;KIDDIO;BENTON , BROOK;;;BEMTON , BROOK;;;;;;;;;;;SOUL;0;2;;36;0
;   6; 1; 9;CD;SOUL VOL. 1;KNOCK ON WOOD;FLOYD , EDDIE;;;FLOYD , EDDIE;;;;;;;;;;;SOUL;0;3;;0;0
;   6; 1;10;CD;SOUL VOL. 1;SAVE THE LAST DANCE FOR ME;DRIFTERS;;;DRIFTERS;;;;;;;;;;;SOUL;0;2;;15;0
;   6; 1;11;CD;SOUL VOL. 1;ROCK YOUR BABY;MCRAE , GEORGE;;;MCRAE , GEORGE;;;;;;;;;;;SOUL;0;3;;20;0
;   6; 1;12;CD;SOUL VOL. 1;IT'S JUST A MATTER OF TIME;BENTON , BROOK;;;BENTON , BROOK;;;;;;;;;;;SOUL;0;2;;29;0
;   6; 1;13;CD;SOUL VOL. 1;THE IN CROWD;GRAY , DOBIE;;;GRAY , DOBIE;;;;;;;;;;;SOUL;0;2;;53;0
;   6; 1;14;CD;SOUL VOL. 1;SOUL SISTER BROWN SUGER;SAM & DAVE;;;SAM & DAVE;;;;;;;;;;;SOUL;0;2;;19;0
;   7; 1; 1;CD;20 WORLDSTARS WITH THEIR G. HITS;MANDOLINS IN THE MOONLIGHT;COMO , PERRY;;;COMO , PERRY;;;;;;;;;;;OLDIE;0;2;;46;0
;   7; 1; 2;CD;20 WORLDSTARS WITH THEIR G. HITS;LOVE LETTERS IN THE SAND;BOONE , PAT;;;BOONE , PAT;;;;;;;;;;;OLDIE;0;2;;16;0
;   7; 1; 3;CD;20 WORLDSTARS WITH THEIR G. HITS;RUM AND COCA-COLA;ANDREW SISTERS;;;ANDREW SISTERS;;;;;;;;;;;OLDIE;0;3;;9;0
;   7; 1; 4;CD;20 WORLDSTARS WITH THEIR G. HITS;HURT;YURO , TIMI;;;YURO , TIMI;;;;;;;;;;;OLDIE;0;2;;28;0
;   7; 1; 5;CD;20 WORLDSTARS WITH THEIR G. HITS;WHAT THE WORLD NEEDS NOW IS LOVE;WARWICKE , DIONNE;;;WARWICKE , DIONNE;;;;;;;;;;;OLDIE;0;3;;4;0
;   7; 1; 6;CD;20 WORLDSTARS WITH THEIR G. HITS;CARA MIA;JAY & THE AMERICANS;;;JAY & THE AMERICANS;;;;;;;;;;;OLDIE;0;2;;34;0
;   7; 1; 7;CD;20 WORLDSTARS WITH THEIR G. HITS;BLUEBERRY HILL;DOMINO , FATS;;;DOMINO , FATS;;;;;;;;;;;OLDIE;0;2;;21;0
;   7; 1; 8;CD;20 WORLDSTARS WITH THEIR G. HITS;ONLY YOU;PLATTERS , THE;;;PLATTERS , THE;;;;;;;;;;;OLDIE;0;2;;36;0
;   7; 1; 9;CD;20 WORLDSTARS WITH THEIR G. HITS;WONDERFUL WORLD;COOKE , SAM;;;COOKE , SAM;;;;;;;;;;;OLDIE;0;2;;7;0
;   7; 1;10;CD;20 WORLDSTARS WITH THEIR G. HITS;INNAMORATA;MARTIN , DEAN;;;MARTIN , DEAN;;;;;;;;;;;OLDIE;0;2;;24;0
;   7; 1;11;CD;20 WORLDSTARS WITH THEIR G. HITS;I'M SORRY;LEE , BRENDA;;;LEE , BRENDA;;;;;;;;;;;OLDIE;0;2;;40;0
;   7; 1;12;CD;20 WORLDSTARS WITH THEIR G. HITS;QUE SERA;DAY , DORIS;;;DAY , DORIS;;;;;;;;;;;OLDIE;0;2;;6;0
;   7; 1;13;CD;20 WORLDSTARS WITH THEIR G. HITS;NANCY;SINATRA , FRANK;;;SINATRA , FRANK;;;;;;;;;;;OLDIE;0;3;;21;0
;   7; 1;14;CD;20 WORLDSTARS WITH THEIR G. HITS;TELL ME WHY;FOUR ACES , THE;;;FOUR ACES , THE;;;;;;;;;;;OLDIE;0;3;;4;0
;   7; 1;15;CD;20 WORLDSTARS WITH THEIR G. HITS;MACK THE KNIFE;FITZGERALD , ELLA;;;FITZGERALD , ELLA;;;;;;;;;;;OLDIE;0;4;;20;0
;   7; 1;16;CD;20 WORLDSTARS WITH THEIR G. HITS;JALOUSIE;LANE , FRANKIE;;;LANE , FRANKIE;;;;;;;;;;;OLDIE;0;3;;15;0
;   7; 1;17;CD;20 WORLDSTARS WITH THEIR G. HITS;RAINDROPS KEEP FALLING ON MY HEAD;THOMAS , B.J.;;;THOMAS , B.J.;;;;;;;;;;;OLDIE;0;2;;42;0
;   7; 1;18;CD;20 WORLDSTARS WITH THEIR G. HITS;WHEN A MAN LOVES A WOMAN;SLEDGE , PERCY;;;SLEDGE , PERCY;;;;;;;;;;;OLDIE;0;2;;37;0
;   7; 1;19;CD;20 WORLDSTARS WITH THEIR G. HITS;HONEY;GOLDSBORO , BOBBY;;;GOLDSBORO , BOBBY;;;;;;;;;;;OLDIE;0;3;;57;0
;   7; 1;20;CD;20 WORLDSTARS WITH THEIR G. HITS;SMOKE GETS IN YOUR EYES;PLATTERS , THE;;;PLATTERS , THE;;;;;;;;;;;OLDIE;0;2;;40;0
;   7; 1;21;CD;20 WORLDSTARS WITH THEIR G. HITS;IT'S OVER;ORBISON , ROY;;;ORBISON , ROY;;;;;;;;;;;OLDIE;0;2;;48;0
;   8; 1; 1;CD;16 ORIGINAL SUPERHITS OF THE 60'S;BABY LOVE;SUPREMES , THE;;;SUPREMES , THE;;;;;;;;;;;OLDIE;0;2;;37;0
;   8; 1; 2;CD;16 ORIGINAL SUPERHITS OF THE 60'S;COME SEE ABOUT ME;SUPREMES , THE;;;SUPREMES , THE;;;;;;;;;;;OLDIE;0;2;;42;0
;   8; 1; 3;CD;16 ORIGINAL SUPERHITS OF THE 60'S;WHERE DID OUR LOVE GO;SUPREMES , THE;;;SUPREMES , THE;;;;;;;;;;;OLDIE;0;2;;31;0
;   8; 1; 4;CD;16 ORIGINAL SUPERHITS OF THE 60'S;I HEAR A SYMPHONY;SUPREMES , THE;;;SUPREMES , THE;;;;;;;;;;;OLDIE;0;2;;41;0
;   8; 1; 5;CD;16 ORIGINAL SUPERHITS OF THE 60'S;LOVE IS LIKE A HEATWAVE;MARTHA & THE VANDELLAS;;;MARTHA & THE VAND.;;;;;;;;;;;OLDIE;0;2;;42;0
;   8; 1; 6;CD;16 ORIGINAL SUPERHITS OF THE 60'S;DANCING IN THE STREET;MARTHA & THE VANDELLAS;;;MARTHA & THE VAND.;;;;;;;;;;;OLDIE;0;2;;38;0
;   8; 1; 7;CD;16 ORIGINAL SUPERHITS OF THE 60'S;NOWHERE TO RUN;MARTHA & THE VANDELLAS;;;MARTHA & THE VAND.;;;;;;;;;;;OLDIE;0;2;;45;0
;   8; 1; 8;CD;16 ORIGINAL SUPERHITS OF THE 60'S;I'M READY FOR LOVE;MARTHA & THE VANDELLAS;;;MARTHA & THE VAND.;;;;;;;;;;;OLDIE;0;2;;54;0
;   8; 1; 9;CD;16 ORIGINAL SUPERHITS OF THE 60'S;HE'S A REBEL;CRYSTALS , THE;;;CRYSTALS , THE;;;;;;;;;;;OLDIE;0;2;;17;0
;   8; 1;10;CD;16 ORIGINAL SUPERHITS OF THE 60'S;DA DOO RON RON;CRYSTALS , THE;;;CRYSTALS , THE;;;;;;;;;;;OLDIE;0;2;;10;0
;   8; 1;11;CD;16 ORIGINAL SUPERHITS OF THE 60'S;THEN HE KISSED ME;CRYSTALS , THE;;;CRYSTALS , THE;;;;;;;;;;;OLDIE;0;2;;29;0
;   8; 1;12;CD;16 ORIGINAL SUPERHITS OF THE 60'S;HE'S SURE THE BOY I LOVE;CRYSTALS , THE;;;CRYSTALS , THE;;;;;;;;;;;OLDIE;0;2;;54;0
;   8; 1;13;CD;16 ORIGINAL SUPERHITS OF THE 60'S;BE MY BABY;RONETTES , THE;;;RONETTES , THE;;;;;;;;;;;OLDIE;0;2;;33;0
;   8; 1;14;CD;16 ORIGINAL SUPERHITS OF THE 60'S;BABY I LOVE YOU;RONETTES , THE;;;RONETTES , THE;;;;;;;;;;;OLDIE;0;2;;32;0
;   8; 1;15;CD;16 ORIGINAL SUPERHITS OF THE 60'S;DO I LOVE YOU;RONETTES , THE;;;RONETTES , THE;;;;;;;;;;;OLDIE;0;2;;46;0
;   8; 1;16;CD;16 ORIGINAL SUPERHITS OF THE 60'S;WALKING IN THE RAIN;RONETTES , THE;;;RONETTES , THE;;;;;;;;;;;OLDIE;0;3;;15;0
;   9; 1; 1;CD;THE THREE DEGREES GREATEST HITS;WHEN WILL I SEE YOU AGAIN;THREE DEGREES , THE;;;THREE DEGREES , THE;;;;;;;;;;;PHILLY;1973;2;;37;0
;   9; 1; 2;CD;THE THREE DEGREES GREATEST HITS;CAN'T YOU SEE WHAT YOU'RE DOING;THREE DEGREES , THE;;;THREE DEGREES , THE;;;;;;;;;;;PHILLY;1973;2;;28;0
;   9; 1; 3;CD;THE THREE DEGREES GREATEST HITS;TOAST OF LOVE;THREE DEGREES , THE;;;THREE DEGREES , THE;;;;;;;;;;;PHILLY;1976;3;;41;0
;   9; 1; 4;CD;THE THREE DEGREES GREATEST HITS;WE'RE ALL ALONE;THREE DEGREES , THE;;;THREE DEGREES , THE;;;;;;;;;;;PHILLY;1977;3;;34;0
;   9; 1; 5;CD;THE THREE DEGREES GREATEST HITS;LONG LOST LOVER;THREE DEGREES , THE;;;THREE DEGREES , THE;;;;;;;;;;;PHILLY;1977;0;;0;0
;   9; 1; 6;CD;THE THREE DEGREES GREATEST HITS;GET YOUR LOVE BACK;THREE DEGREES , THE;;;THREE DEGREES , THE;;;;;;;;;;;PHILLY;1974;3;;13;0
;   9; 1; 7;CD;THE THREE DEGREES GREATEST HITS;I LIKE BEING A WOMAN;THREE DEGREES , THE;;;THREE DEGREES , THE;;;;;;;;;;;PHILLY;1973;2;;53;0
;   9; 1; 8;CD;THE THREE DEGREES GREATEST HITS;WHAT I DID FOR LOVE;THREE DEGREES , THE;;;THREE DEGREES , THE;;;;;;;;;;;PHILLY;1976;3;;32;0
;   9; 1; 9;CD;THE THREE DEGREES GREATEST HITS;STANDING UP FOR LOVE;THREE DEGREES , THE;;;THREE DEGREES , THE;;;;;;;;;;;PHILLY;1977;3;;40;0
;   9; 1;10;CD;THE THREE DEGREES GREATEST HITS;TAKE GOOD CARE OF YOURSELF;THREE DEGREES , THE;;;THREE DEGREES , THE;;;;;;;;;;;PHILLY;1975;3;;6;0
;   9; 1;11;CD;THE THREE DEGREES GREATEST HITS;DIRTY OL'MAN;THREE DEGREES , THE;;;THREE DEGREES , THE;;;;;;;;;;;PHILLY;1973;3;;3;0
;   9; 1;12;CD;THE THREE DEGREES GREATEST HITS;LOVING UP;THREE DEGREES , THE;;;THREE DEGREES , THE;;;;;;;;;;;PHILLY;1975;2;;51;0
;   9; 1;13;CD;THE THREE DEGREES GREATEST HITS;A WOMAN NEEDS A GOOD MAN;THREE DEGREES , THE;;;THREE DEGREES , THE;;;;;;;;;;;PHILLY;1973;3;;45;0
;   9; 1;14;CD;THE THREE DEGREES GREATEST HITS;TSOP (THE SOUND OF PHILADELPHIA);THREE DEGREES , THE;;;THREE DEGREES , THE;;;;;;;;;;;PHILLY;1975;2;;49;0
;   9; 1;15;CD;THE THREE DEGREES GREATEST HITS;ANOTHER HEARTACHE;THREE DEGREES , THE;;;THREE DEGREES , THE;;;;;;;;;;;PHILLY;1975;3;;36;0
;   9; 1;16;CD;THE THREE DEGREES GREATEST HITS;DISTANT LOVER;THREE DEGREES , THE;;;THREE DEGREES , THE;;;;;;;;;;;PHILLY;1975;3;;36;0
;   9; 1;17;CD;THE THREE DEGREES GREATEST HITS;TOGETHER;THREE DEGREES , THE;;;THREE DEGREES , THE;;;;;;;;;;;PHILLY;1975;3;;14;0
;   9; 1;18;CD;THE THREE DEGREES GREATEST HITS;HERE I AM;THREE DEGREES , THE;;;THREE DEGREES , THE;;;;;;;;;;;PHILLY;1975;3;;45;0
;   9; 1;19;CD;THE THREE DEGREES GREATEST HITS;YEAR OF DECISION;THREE DEGREES , THE;;;THREE DEGREES , THE;;;;;;;;;;;PHILLY;1973;2;;35;0
;   9; 1;20;CD;THE THREE DEGREES GREATEST HITS;LOVE TRAIN (LIVE VERSION);THREE DEGREES , THE;;;THREE DEGREES , THE;;;;;;;;;;;PHILLY;1975;2;;23;0
;  10; 1; 1;CD;PHILLY INTERNATIONAL GREATEST;AIN'T NO STOPPIN' US NOW;MC FADDEN & WHITEHEAD;;;MC FADDEN & WHITE...;;;;;;;;;;;PHILLY;0;7;;1;0
;  10; 1; 2;CD;PHILLY INTERNATIONAL GREATEST;TSOP (THE SOUND OF PHILADELPHIA);MSFB;;;MSFB;;;;;;;;;;;PHILLY;0;3;;41;0
